horse_id,race_date,injury_flag,trial_rank,running_pos_score,recent_form_score
L129,2026-09-23,0,0,0,0
J087,2026-09-23,0,0,0,0
H168,2026-09-23,0,0,0,0
K507,2026-09-23,0,0,0,0
L110,2026-09-23,0,0,0,0
K306,2026-09-23,0,0,0,0
K336,2026-09-23,0,0,0,0
J162,2026-09-23,0,0,0,0
K580,2026-09-23,0,0,0,0
G277,2026-09-23,0,0,0,0
H293,2026-09-23,0,0,0,0
J501,2026-09-23,0,0,0,0
J332,2026-09-23,0,0,0,0
J395,2026-09-23,0,0,0,0
H419,2026-09-23,0,0,0,0
K028,2026-09-23,0,0,0,0
J331,2026-09-23,0,0,0,0
H110,2026-09-23,0,0,0,0
L284,2026-09-23,0,0,0,0
K315,2026-09-23,0,0,0,0
L133,2026-09-23,0,0,0,0
K320,2026-09-23,0,0,0,0
L353,2026-09-23,0,0,0,0
J043,2026-09-23,0,0,0,0
L325,2026-09-23,0,0,0,0
K016,2026-09-23,0,0,0,0
J362,2026-09-23,0,0,0,0
K271,2026-09-23,0,0,0,0
K189,2026-09-23,0,0,0,0
L267,2026-09-23,0,0,0,0
L039,2026-09-23,0,0,0,0
K145,2026-09-23,0,0,0,0
L044,2026-09-23,0,0,0,0
K444,2026-09-23,0,0,0,0
J494,2026-09-23,0,0,0,0
K416,2026-09-23,0,0,0,0
L031,2026-09-23,0,0,0,0
L079,2026-09-23,0,0,0,0
J131,2026-09-23,0,0,0,0
J215,2026-09-23,0,0,0,0
G125,2026-09-23,0,0,0,0
K202,2026-09-23,0,0,0,0
L249,2026-09-23,0,0,0,0
L083,2026-09-23,0,0,0,0
K325,2026-09-23,0,0,0,0
L115,2026-09-23,0,0,0,0
L050,2026-09-23,0,0,0,0
L420,2026-09-23,0,0,0,0
L051,2026-09-23,0,0,0,0
L277,2026-09-23,0,0,0,0
K407,2026-09-23,0,0,0,0
H173,2026-09-23,0,0,0,0
K229,2026-09-23,0,0,0,0
J137,2026-09-23,0,0,0,0
L134,2026-09-23,0,0,0,0
H116,2026-09-23,0,0,0,0
L093,2026-09-23,0,0,0,0
K319,2026-09-23,0,0,0,0
L202,2026-09-23,0,0,0,0
K374,2026-09-23,0,0,0,0
J398,2026-09-23,0,0,0,0
L065,2026-09-23,0,0,0,0
K397,2026-09-23,0,0,0,0
L046,2026-09-23,0,0,0,0
K253,2026-09-23,0,0,0,0
K529,2026-09-23,0,0,0,0
L214,2026-09-23,0,0,0,0
K468,2026-09-23,0,0,0,0
K479,2026-09-23,0,0,0,0
L007,2026-09-23,0,0,0,0
L291,2026-09-23,0,0,0,0
L290,2026-09-23,0,0,0,0
K228,2026-09-23,0,0,0,0
E175,2026-09-23,0,0,0,0
L101,2026-09-23,0,0,0,0
H208,2026-09-23,0,0,0,0
L175,2026-09-23,0,0,0,0
J290,2026-09-23,0,0,0,0
K352,2026-09-23,0,0,0,0
K234,2026-09-23,0,0,0,0
K011,2026-09-23,0,0,0,0
L384,2026-09-23,0,0,0,0
E301,2026-09-23,0,0,0,0
J370,2026-09-23,0,0,0,0
K314,2026-09-23,0,0,0,0
J158,2026-09-23,0,0,0,0
K367,2026-09-23,0,0,0,0
J300,2026-09-23,0,0,0,0
L168,2026-09-23,0,0,0,0
E061,2026-09-23,0,0,0,0
K340,2026-09-23,0,0,0,0
K125,2026-09-23,0,0,0,0
K516,2026-09-23,0,0,0,0
L075,2026-09-23,0,0,0,0
J396,2026-09-23,0,0,0,0
J237,2026-09-23,0,0,0,0
L096,2026-09-23,0,0,0,0
K186,2026-09-23,0,0,0,0
J487,2026-09-23,0,0,0,0
K553,2026-09-23,0,0,0,0
H113,2026-09-23,0,0,0,0
J075,2026-09-23,0,0,0,0
L108,2026-09-23,0,0,0,0
L151,2026-09-23,0,0,0,0
K161,2026-09-23,0,0,0,0
K381,2026-09-23,0,0,0,0
J446,2026-09-23,0,0,0,0
L240,2026-09-23,0,0,0,0
K004,2026-09-23,0,0,0,0
K395,2026-09-23,0,0,0,0
L184,2026-09-23,0,0,0,0
G306,2026-09-23,0,0,0,0
L057,2026-09-23,0,0,0,0
K559,2026-09-27,1,0,0,0
K456,2026-09-27,1,0,0,0
H283,2026-09-27,1,0,0,0
J037,2026-09-27,1,0,0,0
H180,2026-09-27,1,0,0,0
K209,2026-09-27,1,0,0,0
J099,2026-09-27,1,0,0,0
K198,2026-09-27,1,0,0,0
K241,2026-09-27,1,0,0,0
J294,2026-09-27,1,0,0,0
L231,2026-09-27,1,0,0,0
L008,2026-09-27,1,0,0,0
L194,2026-09-27,1,0,0,0
L120,2026-09-27,1,0,0,0
K332,2026-09-27,1,0,0,0
K272,2026-09-27,1,0,0,0
K354,2026-09-27,1,0,0,0
J309,2026-09-27,1,0,0,0
L232,2026-09-27,1,0,0,0
K097,2026-09-27,1,0,0,0
H252,2026-09-27,1,0,0,0
K523,2026-09-27,1,0,0,0
K027,2026-09-27,1,0,0,0
K247,2026-09-27,1,0,0,0
H234,2026-09-27,1,0,0,0
K293,2026-09-27,1,0,0,0
K228,2026-09-27,1,0,0,0
L169,2026-09-27,1,0,0,0
K017,2026-09-27,1,0,0,0
K284,2026-09-27,1,0,0,0
L106,2026-09-27,1,0,0,0
K040,2026-09-27,1,0,0,0
K333,2026-09-27,1,0,0,0
L225,2026-09-27,1,0,0,0
J271,2026-09-27,1,0,0,0
K052,2026-09-27,1,0,0,0
J423,2026-09-27,1,0,0,0
J273,2026-09-27,1,0,0,0
H475,2026-09-27,1,0,0,0
H388,2026-09-27,1,0,0,0
J315,2026-09-27,1,0,0,0
K144,2026-09-27,1,0,0,0
L092,2026-09-27,1,0,0,0
K569,2026-09-27,1,0,0,0
J360,2026-09-27,1,0,0,0
K081,2026-09-27,1,0,0,0
J039,2026-09-27,1,0,0,0
J383,2026-09-27,1,0,0,0
L255,2026-09-27,1,0,0,0
L210,2026-09-27,1,0,0,0
H435,2026-09-27,1,0,0,0
L053,2026-09-27,1,0,0,0
H108,2026-09-27,1,0,0,0
H408,2026-09-27,1,0,0,0
K478,2026-09-27,1,0,0,0
E356,2026-09-27,1,0,0,0
J127,2026-09-27,1,0,0,0
H219,2026-09-27,1,0,0,0
J339,2026-09-27,1,0,0,0
L193,2026-09-27,1,0,0,0
K285,2026-09-27,1,0,0,0
K031,2026-09-27,1,0,0,0
K057,2026-09-27,1,0,0,0
H399,2026-09-27,1,0,0,0
K236,2026-09-27,1,0,0,0
J161,2026-09-27,1,0,0,0
E436,2026-09-27,1,0,0,0
L019,2026-09-27,1,0,0,0
J368,2026-09-27,1,0,0,0
K114,2026-09-27,1,0,0,0
J180,2026-09-27,1,0,0,0
K335,2026-09-27,1,0,0,0
J428,2026-09-27,1,0,0,0
H161,2026-09-27,1,0,0,0
J488,2026-09-27,1,0,0,0
G140,2026-09-27,1,0,0,0
L027,2026-09-27,1,0,0,0
L054,2026-09-27,1,0,0,0
E448,2026-09-27,1,0,0,0
K571,2026-09-27,0,1,0,0
K494,2026-09-27,0,2,0,0
L189,2026-09-27,0,3,0,0
K037,2026-09-27,0,4,0,0
J002,2026-09-27,0,1,0,0
L060,2026-09-27,0,2,0,0
L286,2026-09-27,0,3,0,0
J231,2026-09-27,0,4,0,0
K162,2026-09-27,0,5,0,0
J239,2026-09-27,0,1,0,0
H092,2026-09-27,0,2,0,0
J499,2026-09-27,0,3,0,0
L444,2026-09-27,0,4,0,0
