horse_name,horse_id
GO GO GO,H196
SUNNY BABY,E166
JOYFUL PROSPERITY,H213
CIRCUIT NINE,G140
HARRY'S HERO,H332
CASA LEGEND,G126
MR ALADDIN,H386
FURY AND GOLD,H202
KINGLY DEMEANOR,H486
HAPPY HUNK,H101
VERBIER,J187
LEATHER MASTER,H034
TIGER AND GOLD,J064
SAME TO YOU,H057
HO HO STAR,H291
SUPER ELITE,H247
THE GOOD DEAL,G025
SMART LEADER,B456
REGENCY HAPPY STAR,H248
YOUTH POWER,H358
ALLOY KING,D287
RED MAVERICK,J067
MOLLY'S WITNESS,J121
LUCKY QUALITY,D050
TATTENHAM,H121
EXCELLENT DADDY,E321
KA YING RISING,J062
BEAUTY WAVES,H294
SUPERB CAPITALIST,H092
HARMONY N BLESSED,E061
FLYING ACE,G045
LUCKY WITH YOU,E356
PACKING TREADMILL,G161
BEAUTY CHARGE,G231
MAJESTIC KNIGHT,G258
BABY CRYSTAL,H081
FAST NETWORK,J358
CHEVAL VALIANT,E336
GLORIOUS EXPERT,J028
METRO WARRIOR,D387
COLOURFUL WINNER,J312
CIRCUIT VICTORY,H487
SUPER GLORY,J025
PARENTS' LOVE,H405
RUN RUN COOL,E322
MAJESTIC EXPRESS,J244
ALWAYS MY FOLKS,J345
ALP'S AFFECTION,J289
MY WISH,J256
SUPER LEGENDS,H364
STERLING WONGCHOY,H273
POCHETTINO,J149
CALIFORNIA DEEPLY,G451
YEAH BUDDY,J430
PEARL OF PANG'S,J447
SNOWALOT,E397
LIFE OF STONE,J374
SUNDAY'S SERENADE,J231
SUPER BONUS,H259
AMAZING RUN,H401
FIGHTING MACHINE,J015
AMAZING DUCK,H392
FORERUNNER,G465
HIGHLAND RAHY,J298
JUMBO LEGEND,G266
CALIFORNIA MOXIE,J131
RED ACLAIM,J017
BEAUTIFUL WIN,J250
CIRCUIT FIERY,H475
CHARITY FOR ALL,H417
STAR LINE,J110
CALL ME SUPREME,J202
CHIU CHOW SPIRIT,H175
SUPERB BOY,G335
KARMA,G392
KEEFY,G306
CHING,G380
SUPREME LUCKY,G457
