race_date,race_no,horse_name,finish_position
2026-01-01,1,鐵甲驌龍,1
2026-01-01,1,極速之子,2
2026-01-01,1,快樂老撾,3
2026-01-01,1,威威父子,4
2026-01-01,2,笑盈喜,1
2026-01-01,2,海藍寶,2
2026-01-01,2,仁者荃承,3
2026-01-01,2,綫路達飛,4
2026-01-01,3,同喜,1
2026-01-01,3,首駿,2
2026-01-01,3,金快飛飛,3
2026-01-01,3,時間寶,4
2026-01-01,4,醒目高球,1
2026-01-01,4,伶俐驫駒,2
2026-01-01,4,活力拍檔,3
2026-01-01,4,光年程祥,4
2026-01-01,5,耀昌勝世,1
2026-01-01,5,風火恆雲,2
2026-01-01,5,包裝旋風,3
2026-01-01,5,八駿笑昇,4
2026-01-01,6,精算激流,1
2026-01-01,6,爆出美麗,2
2026-01-01,6,卓越蒨鋒,3
2026-01-01,6,星運少爵,4
2026-01-01,7,安都,1
2026-01-01,7,開心宇宙,2
2026-01-01,7,黃金騎士,3
2026-01-01,7,家樂寶駒,4
2026-01-01,8,風雲武士,1
2026-01-01,8,舞林密碼,2
2026-01-01,8,手機錶霸,3
2026-01-01,8,信心星,4
2026-01-01,9,扶搖勢勁,1
2026-01-01,9,跨境寶馬,2
2026-01-01,9,開心指數,3
2026-01-01,9,飛馬座,4
2026-01-01,10,韋金主,1
2026-01-01,10,嘉應奇兵,2
2026-01-01,10,確好勁,3
2026-01-01,10,笑喜喜,4
2026-01-01,11,晒冷,1
2026-01-01,11,千帆駒,2
2026-01-01,11,狼來了,3
2026-01-01,11,閃光燈,4
2026-01-04,1,全神貫注,1
2026-01-04,1,旋風傳奇,2
2026-01-04,1,至旺財,3
2026-01-04,1,駿馬之星,4
2026-01-04,2,俏眼光,1
2026-01-04,2,拉合爾,2
2026-01-04,2,烈焰光芒,3
2026-01-04,2,燊輝之星,4
2026-01-04,3,砂漿麒星,1
2026-01-04,3,顯勝高昇,2
2026-01-04,3,嘉嘉友福,3
2026-01-04,3,星火燎原,4
2026-01-04,4,旺旺嘉駒,1
2026-01-04,4,花果猴王,2
2026-01-04,4,起舞奜奜,3
2026-01-04,4,雷神太保,4
2026-01-04,5,威武年代,1
2026-01-04,5,仁仁有餘,2
2026-01-04,5,超開心,3
2026-01-04,5,衝上雲霄,4
2026-01-04,6,心雄雄,1
2026-01-04,6,細水長流,2
2026-01-04,6,紅衣醒目,3
2026-01-04,6,凱旋幸運,4
2026-01-04,7,睿盛人生,1
2026-01-04,7,太陽勇士,2
2026-01-04,7,喜尊龍,3
2026-01-04,7,潮州精神,4
2026-01-04,8,星際快車,1
2026-01-04,8,顏色之皇,2
2026-01-04,8,賢者無敵,3
2026-01-04,8,氣勢,4
2026-01-04,9,樂勝天下,1
2026-01-04,9,駿步騰飛,2
2026-01-04,9,熾烈神駒,3
2026-01-04,9,穿甲戰鷹,4
2026-01-04,10,忠誠明駒,1
2026-01-04,10,金創福威,2
2026-01-04,10,閃耀天河,3
2026-01-04,10,健康快車,4
2026-01-04,11,開心勇駒,1
2026-01-04,11,榮駿大道,2
2026-01-04,11,高高至高,3
2026-01-04,11,幸運派彩,4
2026-01-07,1,特別美麗,1
2026-01-07,1,夢照發,2
2026-01-07,1,步風雷,3
2026-01-07,1,金德義,4
2026-01-07,2,福星小子,1
2026-01-07,2,多多好馬,2
2026-01-07,2,電玩精英,3
2026-01-07,2,天下寵兒,4
2026-01-07,3,佳福駒,1
2026-01-07,3,祥勝將軍,2
2026-01-07,3,瑞祺威楓,3
2026-01-07,3,喜馬,4
2026-01-07,4,良駒好友,1
2026-01-07,4,巴閉哥,2
2026-01-07,4,祥勝力駒,3
2026-01-07,4,嘉應駿馬,4
2026-01-07,5,翠兒威威,1
2026-01-07,5,隨緣得勝,2
2026-01-07,5,加州活力,3
2026-01-07,5,獎星,4
2026-01-07,6,團結勇士,1
2026-01-07,6,可靠大師,2
2026-01-07,6,遨遊波士,3
2026-01-07,6,巴閉王,4
2026-01-07,7,好好戀愛,1
2026-01-07,7,手到齊來,2
2026-01-07,7,連連幸運,3
2026-01-07,7,狀元及第,4
2026-01-07,8,精彩駿將,1
2026-01-07,8,好節拍,2
2026-01-07,8,太子,3
2026-01-07,8,泰泰精神,4
2026-01-07,9,一定掂,1
2026-01-07,9,相映紅,2
2026-01-07,9,競駿飛翔,3
2026-01-07,9,蓮冠皇,4
2026-01-11,1,凌風傲雪,1
2026-01-11,1,盛勢威楓,2
2026-01-11,1,首駿,3
2026-01-11,1,艾彼奧,4
2026-01-11,2,勇者為皇,1
2026-01-11,2,幸運奇兵,2
2026-01-11,2,奇異歡星,3
2026-01-11,2,海鑽石,4
2026-01-11,3,精英高球,1
2026-01-11,3,逍遙人生,2
2026-01-11,3,大愛無疆,3
2026-01-11,3,嘉應勇士,4
2026-01-11,4,進傲星,1
2026-01-11,4,安泰,2
2026-01-11,4,綫路萬里,3
2026-01-11,4,勤德天下,4
2026-01-11,5,機械之星,1
2026-01-11,5,龍城強將,2
2026-01-11,5,跨境駿馬,3
2026-01-11,5,久久為軍,4
2026-01-11,6,中國心,1
2026-01-11,6,大千雄心,2
2026-01-11,6,風火恆雲,3
2026-01-11,6,同益善,4
2026-01-11,7,競駿皇者,1
2026-01-11,7,超寫意,2
2026-01-11,7,星月飛雲,3
2026-01-11,7,穿甲戰鷹,4
2026-01-11,8,小鳥天堂,1
2026-01-11,8,晒冷,2
2026-01-11,8,駿跑得,3
2026-01-11,8,威利金箭,4
2026-01-11,9,發財先鋒,1
2026-01-11,9,桃花開,2
2026-01-11,9,豐辰,3
2026-01-11,9,包裝戰仕,4
2026-01-11,10,白鷺金剛,1
2026-01-11,10,美麗星晨,2
2026-01-11,10,超勁赤兔,3
2026-01-11,10,智多多寶,4
2026-01-11,11,一生好彩,1
2026-01-11,11,凌登,2
2026-01-11,11,火悟空,3
2026-01-11,11,喜蓮勁感,4
2026-01-14,1,前衛火影,1
2026-01-14,1,歷險大將,2
2026-01-14,1,快樂寶寶,3
2026-01-14,1,東方魅影,4
2026-01-14,2,將義,1
2026-01-14,2,創科群英,2
2026-01-14,2,駟跑得,3
2026-01-14,2,平海之星,4
2026-01-14,3,幸運星球,1
2026-01-14,3,比特星,2
2026-01-14,3,八里旺,3
2026-01-14,3,踏雪尋梅,4
2026-01-14,4,康昌之星,1
2026-01-14,4,頌星,2
2026-01-14,4,加州星皓,3
2026-01-14,4,君智盛,4
2026-01-14,5,勁沙塵,1
2026-01-14,5,銀亮奔騰,2
2026-01-14,5,富國兄弟,3
2026-01-14,5,爆笑,4
2026-01-14,6,紅錢到,1
2026-01-14,6,花好月盈,2
2026-01-14,6,好精神,3
2026-01-14,6,有你有我,4
2026-01-14,7,勁速威龍,1
2026-01-14,7,大浪圖田,2
2026-01-14,7,喜蓮勇感,3
2026-01-14,7,安遇,4
2026-01-14,8,風雲武士,1
2026-01-14,8,至尊瑰寶,2
2026-01-14,8,勇敢巨星,3
2026-01-14,8,得道猴王,4
2026-01-14,9,三軍勇將,1
2026-01-14,9,臻至辰,2
2026-01-14,9,加州本事,3
2026-01-14,9,沙井之友,4
2026-01-18,1,香港精神,1
2026-01-18,1,夢照發,2
2026-01-18,1,開心三多,3
2026-01-18,1,型到爆,4
2026-01-18,2,冷娃,1
2026-01-18,2,綫路英雄,2
2026-01-18,2,銳目,3
2026-01-18,2,團結戰靈,4
2026-01-18,3,國千金,1
2026-01-18,3,三甲之星,2
2026-01-18,3,魅力寶駒,3
2026-01-18,3,俏眼光,4
2026-01-18,4,雙星報喜,1
2026-01-18,4,超開心,2
2026-01-18,4,超風速,3
2026-01-18,4,精算激流,4
2026-01-18,5,喜慶寶,1
2026-01-18,5,錶之浩瀚,2
2026-01-18,5,實力加,3
2026-01-18,5,賢知友您,4
2026-01-18,6,活力拍檔,1
2026-01-18,6,最好玩,2
2026-01-18,6,千杯不醉,3
2026-01-18,6,綫路高高,4
2026-01-18,7,細水長流,1
2026-01-18,7,黃金騎士,2
2026-01-18,7,凝妙星,3
2026-01-18,7,愛心波,4
2026-01-18,8,飛馬座,1
2026-01-18,8,志滿同行,2
2026-01-18,8,健康快車,3
2026-01-18,8,金創福威,4
2026-01-18,9,會當凌,1
2026-01-18,9,閃光燈,2
2026-01-18,9,至尊高超,3
2026-01-18,9,亞機拉,4
2026-01-18,10,天星,1
2026-01-18,10,綠野飛馳,2
2026-01-18,10,做好自己,3
2026-01-18,10,穿甲金鷹,4
2026-01-18,11,錶之宇宙,1
2026-01-18,11,友瑩光,2
2026-01-18,11,幸運派彩,3
2026-01-18,11,紫荊盛勢,4
2026-01-21,1,魅力星,1
2026-01-21,1,銳一,2
2026-01-21,1,銀亮濠俠,3
2026-01-21,1,逆市奇爸,4
2026-01-21,2,悠悠乾坤,1
2026-01-21,2,幻影旋風,2
2026-01-21,2,時間寶,3
2026-01-21,2,樂矚心機,4
2026-01-21,3,伶俐驫駒,1
2026-01-21,3,馬錢子,2
2026-01-21,3,常嚐發財,3
2026-01-21,3,猛將兄,4
2026-01-21,4,新意馬,1
2026-01-21,4,華麗再勝,2
2026-01-21,4,精英雄心,3
2026-01-21,4,知足常樂,4
2026-01-21,5,星火燎原,1
2026-01-21,5,旺旺嘉駒,2
2026-01-21,5,紅衣醒目,3
2026-01-21,5,嘉嘉友福,4
2026-01-21,6,年年友福,1
2026-01-21,6,小飛俠,2
2026-01-21,6,風起雲湧,3
2026-01-21,6,怪獸叉燒,4
2026-01-21,7,巧眼光,1
2026-01-21,7,午夜快車,2
2026-01-21,7,加州星馳,3
2026-01-21,7,風繼續吹,4
2026-01-21,8,熾烈神駒,1
2026-01-21,8,晶晶日上,2
2026-01-21,8,穿甲戰鷹,3
2026-01-21,8,德心知遇,4
2026-01-21,9,皇龍飛將,1
2026-01-21,9,滿心星,2
2026-01-21,9,凱明神駒,3
2026-01-21,9,電訊巴打,4
2026-01-25,1,手機錶勁,1
2026-01-25,1,飛來閃耀,2
2026-01-25,1,怡昌光輝,3
2026-01-25,1,快樂高球,4
2026-01-25,2,運高八斗,1
2026-01-25,2,創寶駒,2
2026-01-25,2,龍傲綾羅,3
2026-01-25,2,天天更好,4
2026-01-25,3,天將龍駒,1
2026-01-25,3,盈好威楓,2
2026-01-25,3,君子傳承,3
2026-01-25,3,話你知,4
2026-01-25,4,鼓浪好友,1
