race_date,race_no,horse_no,horse_name,draw,weight,jockey,trainer,win_odds
2026-09-27,1,1,機械騎士,3,135,黃寶妮 (-7),文家良,5.8
2026-09-27,1,2,嘉嘉友福,9,133,奧爾民,沈集成,8.3
2026-09-27,1,3,日日獎,2,132,霍宏聲,方嘉柏,8.3
2026-09-27,1,4,旭能精英,5,132,梁家俊,巫偉傑,23
2026-09-27,1,5,喜行,7,126,艾兆禮,廖康銘,18
2026-09-27,1,6,銳一,6,126,潘頓,甘敏斯,2.6
2026-09-27,1,7,駿先生,4,125,何澤堯,蘇偉賢,33
2026-09-27,1,8,大浪園田,11,124,金誠剛,鄭俊偉,26
2026-09-27,1,9,五福星,1,123,袁幸堯 (-10),徐雨石,8.5
2026-09-27,1,10,建測精英,12,123,潘明輝,黎昭昇,20
2026-09-27,1,11,勝在有型,8,122,田泰安,葉楚航,30
2026-09-27,1,12,戰騎飛,10,118,楊明綸,丁冠豪,18
2026-09-27,2,1,成就非凡,4,131,楊明綸,黎昭昇,12
2026-09-27,2,2,共同享樂,2,130,霍宏聲,羅富全,26
2026-09-27,2,3,紫電王,5,129,黃智弘 (-3),葉楚航,44
2026-09-27,2,4,小魔怪,6,128,蔡明紹,巫偉傑,5.7
2026-09-27,2,5,君至酷,9,128,金誠剛,呂健威,17
2026-09-27,2,6,機緣燦爛,1,127,梁家俊,鄭俊偉,16
2026-09-27,2,7,星光大道,10,126,袁幸堯 (-10),韋達,12
2026-09-27,2,8,領駿輝煌,12,124,潘頓,文家良,5.3
2026-09-27,2,9,龍威心得,8,124,班德禮,大衛希斯,15
2026-09-27,2,10,隋我同來,3,123,田泰安,桂福特,9.2
2026-09-27,2,11,源好運,11,122,艾兆禮,廖康銘,7.3
2026-09-27,2,12,金多囍,7,120,何澤堯,伍鵬志,5.0
2026-09-27,3,1,一路精彩,1,132,何澤堯,呂健威,5.4
2026-09-27,3,2,東方寶寶,12,130,袁幸堯 (-10),姚本輝,8.0
2026-09-27,3,3,順成之星,6,129,潘頓,賀賢,10
2026-09-27,3,4,閃電武士,7,129,霍宏聲,大衛希斯,8.8
2026-09-27,3,5,精益大師,3,128,黃寶妮 (-7),葉楚航,27
2026-09-27,3,6,傲然,2,128,金誠剛,鄭俊偉,51
2026-09-27,3,7,猛將兄,4,128,蔡明紹,黎昭昇,11
2026-09-27,3,8,銀騰,8,127,楊明綸,桂福特,8.6
2026-09-27,3,9,果然僥倖,10,126,班德禮,蘇偉賢,13
2026-09-27,3,10,海王,11,126,奧爾民,伍鵬志,11
2026-09-27,3,11,快樂老撾,9,124,梁家俊,巫偉傑,6.9
2026-09-27,3,12,銳高,5,124,周俊樂 (-2),文家良,17
2026-09-27,3,13,藍爵爺,14,121,巫顯東 (-2),徐雨石,23
2026-09-27,3,14,大力猴王,13,120,希威森,韋達,28
2026-09-27,4,1,極速神影,3,134,袁幸堯 (-10),姚本輝,3.8
2026-09-27,4,2,日出東方,13,131,梁家俊,羅富全,12
2026-09-27,4,3,豐才,7,128,艾兆禮,蘇偉賢,9.0
2026-09-27,4,4,澄心知遇,5,128,潘頓,蔡約翰,13
2026-09-27,4,5,盈智多寶,6,126,霍宏聲,廖康銘,35
2026-09-27,4,6,常嚐發財,1,125,周俊樂 (-2),巫偉傑,11
2026-09-27,4,7,螢影飛馳,11,124,蔡明紹,徐雨石,33
2026-09-27,4,8,巨靈神,9,124,巫顯東 (-2),徐雨石,12
2026-09-27,4,9,雷神太保,12,124,艾道拿,黎昭昇,11
2026-09-27,4,10,紅悅舍,14,123,希威森,韋達,26
2026-09-27,4,11,飛來霸,8,123,黃寶妮 (-7),賀賢,11
2026-09-27,4,12,杭至尊,2,119,班德禮,葉楚航,11
2026-09-27,4,13,共創歡欣,10,118,楊明綸,大衛希斯,12
2026-09-27,4,14,燊輝之星,4,116,鍾易禮 (-2),告東尼,12
2026-09-27,5,1,高士威勁,10,135,袁幸堯 (-10),姚本輝,13
2026-09-27,5,2,怡傲錢莊,9,134,潘頓,游達榮,9.2
2026-09-27,5,3,表廠傳奇,2,133,黃智弘 (-3),徐雨石,43
2026-09-27,5,4,贏得自然,3,132,周俊樂 (-2),葉楚航,24
2026-09-27,5,5,穿甲戰鷹,4,130,梁家俊,廖康銘,6.6
2026-09-27,5,6,砂漿麒星,1,129,鍾易禮 (-2),告東尼,2.3
2026-09-27,5,7,和光同塵,7,129,蔡明紹,巫偉傑,18
2026-09-27,5,8,幸運大夫,5,123,霍宏聲,伍鵬志,13
2026-09-27,5,9,孤風潛影,6,121,金誠剛,大衛希斯,21
2026-09-27,5,10,魅力星,11,121,艾兆禮,蔡約翰,12
2026-09-27,5,11,騰雲絕影,12,127,奧爾民,賀賢,8.9
2026-09-27,5,12,桃花俊,8,119,希威森,鄭俊偉,45
2026-09-27,6,1,準輝煌,14,135,袁幸堯 (-10),姚本輝,
2026-09-27,6,2,都靈冠星,9,135,希威森,大衛希斯,
