馬號,horse_name,檔位,負磅,騎師,練馬師,場次,比賽日期,賠率,total_races,avg_rank_last3,avg_rank_last5,win_rate,place_rate,win_rate_last10,days_since_last_run,races_last14days,races_last30days,last_race_date
1,雙子美麗,9,134,鍾易禮 (-2),告東尼,1,2026-09-06,26,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2,一路精彩,1,134,何澤堯,呂健威,1,2026-09-06,9.1,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
3,錶之無限,14,134,黃寶妮 (-7),文家良,1,2026-09-06,9.9,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
4,新力驕,7,134,潘頓,蘇偉賢,1,2026-09-06,2.6,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
5,旭能精英,8,132,田泰安,巫偉傑,1,2026-09-06,12,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
6,朗日雪峰,12,132,黃智弘 (-3),方嘉柏,1,2026-09-06,16,6.0,2.33,2.8,0.3333,0.8333,0.3333,67.0,0.0,0.0,2026-07-04
7,嘉嘉友福,2,131,布文,沈集成,1,2026-09-06,10,4.0,3.33,3.25,0.0,0.5,0.0,3.0,1.0,1.0,2026-09-06
8,高感,10,129,艾道拿,黎昭昇,1,2026-09-06,17,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
9,摘星聲升,6,127,奧爾民,鄭俊偉,1,2026-09-06,50,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
10,花香月明,13,127,霍宏聲,韋達,1,2026-09-06,33,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
11,怡昌奇兵,3,125,巴度,桂福特,1,2026-09-06,11,3.0,2.67,2.67,0.0,0.6667,0.0,150.0,0.0,0.0,2026-04-12
12,五福星,4,123,梁家俊,徐雨石,1,2026-09-06,17,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
13,同有運,5,122,袁幸堯 (-10),伍鵬志,1,2026-09-06,15,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
14,神燦金剛,11,120,楊明綸,葉楚航,1,2026-09-06,37,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
1,駿馬之曲,2,135,潘頓,沈集成,2,2026-09-06,3.5,3.0,3.0,3.0,0.3333,0.3333,0.3333,3.0,1.0,1.0,2026-09-06
2,極速神影,5,135,袁幸堯 (-10),姚本輝,2,2026-09-06,3.5,4.0,3.0,3.0,0.25,0.5,0.25,3.0,1.0,1.0,2026-09-06
3,一舖掂晒,8,134,田泰安,巫偉傑,2,2026-09-06,13,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
4,日出東方,10,134,梁家俊,羅富全,2,2026-09-06,11,4.0,2.0,2.0,0.25,1.0,0.25,143.0,0.0,0.0,2026-04-19
5,團結巴打,3,130,楊明綸,桂福特,2,2026-09-06,55,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
6,馬寶寶,9,130,奧爾民,蘇偉賢,2,2026-09-06,19,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
7,銀刺勇士,6,129,黃智弘 (-3),方嘉柏,2,2026-09-06,25,3.0,2.0,2.0,0.3333,1.0,0.3333,70.0,0.0,0.0,2026-07-01
8,紅海旺,1,127,黃寶妮 (-7),文家良,2,2026-09-06,8.2,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
9,雷神太保,11,125,艾道拿,黎昭昇,2,2026-09-06,8.9,5.0,3.0,3.2,0.2,0.4,0.2,133.0,0.0,0.0,2026-04-29
10,燊輝之星,7,119,鍾易禮 (-2),告東尼,2,2026-09-06,9.0,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
11,共創歡欣,4,119,班德禮,大衛希斯,2,2026-09-06,26,3.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0,2026-09-06
1,嘉應高昇,1,135,潘頓,大衛希斯,3,2026-09-06,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2026-09-06
2,合夥奔馳,5,115,楊明綸,呂健威,3,2026-09-06,491,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
3,錶之星河,4,115,田泰安,文家良,3,2026-09-06,226,4.0,1.33,1.75,0.5,1.0,0.5,101.0,0.0,0.0,2026-05-31
4,好友心得,6,115,班德禮,大衛希斯,3,2026-09-06,540,3.0,3.67,3.67,0.0,0.3333,0.0,3.0,1.0,1.0,2026-09-06
5,幸運有您,2,115,潘明輝,羅富全,3,2026-09-06,398,3.0,3.0,3.0,0.0,0.6667,0.0,56.0,0.0,0.0,2026-07-15
6,魔術控制,3,115,蔡明紹,巫偉傑,3,2026-09-06,454,3.0,2.33,2.33,0.0,1.0,0.0,3.0,1.0,1.0,2026-09-06
1,君達得,12,135,潘頓,丁冠豪,4,2026-09-06,3.9,5.0,3.0,2.8,0.0,0.8,0.0,3.0,1.0,1.0,2026-09-06
2,光輝歲月,2,134,霍宏聲,游達榮,4,2026-09-06,11,5.0,3.67,3.2,0.2,0.4,0.2,59.0,0.0,0.0,2026-07-12
3,神駒馬靈,14,133,奧爾民,廖康銘,4,2026-09-06,17,3.0,2.67,2.67,0.0,1.0,0.0,108.0,0.0,0.0,2026-05-24
4,我最好,9,131,鍾易禮 (-2),伍鵬志,4,2026-09-06,17,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
5,堅闖,1,130,艾道拿,告東尼,4,2026-09-06,10,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
6,揚威四海,8,129,何澤堯,葉楚航,4,2026-09-06,33,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
7,開心三多,7,128,巴度,桂福特,4,2026-09-06,10,5.0,2.33,2.4,0.2,1.0,0.2,3.0,1.0,1.0,2026-09-06
8,連連好運,11,128,布文,文家良,4,2026-09-06,13,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
9,駟跑得,5,128,梁家俊,徐雨石,4,2026-09-06,14,4.0,3.33,3.25,0.0,0.5,0.0,3.0,1.0,1.0,2026-09-06
10,志醒大將,6,124,艾兆禮,沈集成,4,2026-09-06,4.7,4.0,2.67,2.5,0.25,0.75,0.25,3.0,1.0,1.0,2026-09-06
11,知恩圖報,13,123,楊明綸,鄭俊偉,4,2026-09-06,14,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
12,上市魅力,3,121,田泰安,蘇偉賢,4,2026-09-06,28,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
13,快樂之友,10,121,蔡明紹,巫偉傑,4,2026-09-06,38,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
14,幸運同行,4,120,潘明輝,蔡約翰,4,2026-09-06,20,5.0,3.33,3.4,0.0,0.4,0.0,77.0,0.0,0.0,2026-06-24
1,鼓浪好友,1,135,田泰安,桂福特,5,2026-09-06,7.3,7.0,3.0,3.0,0.2857,0.8571,0.2857,67.0,0.0,0.0,2026-07-04
2,多威心得,5,132,班德禮,大衛希斯,5,2026-09-06,48,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
3,領駿先鋒,10,128,潘明輝,葉楚航,5,2026-09-06,7.2,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
4,震撼人心,4,128,布文,蔡約翰,5,2026-09-06,7.0,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
5,明德輝煌,13,128,袁幸堯 (-10),姚本輝,5,2026-09-06,6.7,3.0,2.67,2.67,0.0,0.6667,0.0,3.0,1.0,1.0,2026-09-06
6,昇龍戰駒,6,127,梁家俊,伍鵬志,5,2026-09-06,21,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
7,光年程祥,7,126,霍宏聲,游達榮,5,2026-09-06,6.7,6.0,2.33,2.6,0.1667,0.6667,0.1667,3.0,1.0,1.0,2026-09-06
8,歷勝,2,124,何澤堯,呂健威,5,2026-09-06,10,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
9,有盈勇士,14,122,鍾易禮 (-2),沈集成,5,2026-09-06,45,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
10,同喜,12,121,希威森,韋達,5,2026-09-06,17,6.0,2.0,2.6,0.1667,0.8333,0.1667,67.0,0.0,0.0,2026-07-04
11,焦點,9,120,艾兆禮,游達榮,5,2026-09-06,32,5.0,2.33,2.4,0.4,0.6,0.4,63.0,0.0,0.0,2026-07-08
12,花果猴王,8,118,潘頓,告東尼,5,2026-09-06,12,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
13,戀愛狂,11,123,巴度,葉楚航,5,2026-09-06,19,3.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,2026-09-06
